MOF,LCD (Å),LCD/PLD,PLD (Å),density (g/cm3),Pore Volume (cm3/g),Porosity,Surface Area (m2/g),%C,%H,%O,%N,%Halojen,%Metalloids,%Ametal,%Metal,Ot-M,MP,TDU,DU,Qst_N2 (kl/mol),U_N2 (mol/kg),D_N2 (cm2/s)
ACAJOF_clean,6.86398,1.1243541988134,6.10482,1.21871,0.420936,0.51299891256,920.046,37.7049180327869,42.6229508196721,13.1147540983607,3.27868852459016,0,0,0,3.27868852459016,8,8.69565217391304,41,0.445652173913043,12.1179771007,0.2328563621,9.39538664743574E-05
ACIBIY_clean,5.10081,1.36603348125216,3.73403,1.73515,0.264761,0.45940004915,525.866,22.2222222222222,22.2222222222222,44.4444444444444,0,0,0,0,11.1111111111111,8,50,37,0.513888888888889,13.2192675248,0.1302806759,0.000010441202771248
ACIBOE_clean,8.25776,1.17452718146531,7.03071,1.10094,0.595309,0.65539949046,1873.86,45,15,32.5,0,0,0,0,7.5,8.66666666666667,16.6666666666667,61,0.847222222222222,10.0197566259,0.2743429251,0.000239032796715296
ACODON_clean,7.1439,1.5345504224154,4.65537,1.14924,0.520346,0.59800243704,1505.09,48.8636363636364,28.4090909090909,18.1818181818182,0,0,0,2.27272727272727,2.27272727272727,16,4.65116279069767,62,0.720930232558139,12.5015795424,0.4223247829,9.76990079319462E-05
ACOGAB_clean,5.20085,1.3358564908162,3.89327,1.15458,0.482082,0.55660223556,1240.99,36.7816091954023,41.3793103448276,4.59770114942529,13.7931034482759,2.29885057471264,0,0,1.14942528735632,8,3.125,29,0.453125,15.3648218597,0.6608694775,5.19083921822513E-05
ACOGEF_clean,5.20115,1.31712029740078,3.94888,1.25952,0.440168,0.55440039936,1138.35,36.7816091954023,41.3793103448276,4.59770114942529,13.7931034482759,2.29885057471264,0,0,1.14942528735632,8,3.125,29,0.453125,15.4045561051,0.6106058036,6.86669069063803E-05
ACOLOV_clean,8.42183,1.52141623551175,5.53552,0.863411,0.786879,0.679399984269,2579.3,45.6140350877193,35.0877192982456,16.6666666666667,0,0,0,0,2.63157894736842,12.6666666666667,5.76923076923077,129,0.620192307692308,9.7687918407,0.3461165,0.00023985670363915
ACUFEK_clean,15.55627,1.72675344684242,9.00897,0.559431,1.40679,0.78700193649,3941.72,51.6129032258064,25.8064516129032,12.9032258064516,6.45161290322581,0,0,0,3.2258064516129,8,6.25,289,0.752604166666667,7.3974295311,0.3319222892,0.000338776578442183
ACUJOZ_manual,11.50806,1.47060529890523,7.82539,0.694288,1.0644,0.7390001472,3375.59,50.7042253521127,22.5352112676056,21.1267605633803,0,0,0,0,5.63380281690141,7.5,11.1111111111111,505,0.779320987654321,8.3396866581,0.3267468219,0.000291647757342615
ACUTOI_clean,5.192,1.14431808163625,4.5372,1.71994,0.236985,0.4075999809,477.29,35.4838709677419,29.0322580645161,22.5806451612903,3.2258064516129,0,0,3.2258064516129,6.45161290322581,7,18.1818181818182,53,0.602272727272727,29.0420052336,1.2394012755,1.79497216735794E-06
ADARAA_clean,12.29205,2.27598101752158,5.40077,0.881935,0.787813,0.694799858155,2485.27,54.5454545454545,22.7272727272727,10.2272727272727,4.54545454545455,4.54545454545455,0,0,3.40909090909091,6,6.25,913,0.792534722222222,10.8837188727,0.3512219238,0.000173932375339261
ADASAB_charged,22.82402,1.69190386460037,13.49014,0.343942,2.53996,0.87359892232,4829.51,46.3235294117647,24.2647058823529,16.1764705882353,8.82352941176471,0,0,0,4.41176470588235,7.33333333333333,9.52380952380952,373,0.740079365079365,4.38235733,0.2648043036,0.00058805937998262
ADASEF_clean,21.62414,1.97967241870203,10.92309,0.435607,1.94258,0.84620144606,4179.02,46.3917525773196,21.6494845360825,13.4020618556701,12.3711340206186,0,0,0,6.18556701030928,4.33333333333333,13.3333333333333,277,0.769444444444444,6.6843015321,0.3124993337,0.000447851512992309
ADASIJ_clean,18.23438,2.7626843872344,6.60024,0.629251,1.21573,0.76499931823,3491.36,47.8260869565217,26.0869565217391,21.7391304347826,0,0,0,0,4.34782608695652,10,9.09090909090909,193,0.731060606060606,7.993408321,0.3385817449,0.000358958726524675
ADASOP_clean,18.07263,2.69199935651661,6.71346,0.63164,1.24216,0.7845979424,3519.51,47.8260869565217,26.0869565217391,21.7391304347826,0,0,0,0,4.34782608695652,10,9.09090909090909,193,0.731060606060606,8.2574842288,0.3600813372,0.000348513913140279
ADASUV_clean,17.16775,2.54971633101646,6.7332,0.625693,1.22616,0.76719972888,3636.01,47.1428571428571,25.7142857142857,22.8571428571429,0,0,0,0,4.28571428571429,10.6666666666667,9.09090909090909,193,0.731060606060606,7.7932892072,0.3192757486,0.000314528805218118
ADATAC_clean,26.33515,2.56268993817856,10.27637,0.33727,2.5825,0.870999775,5129.28,48.5714285714286,28.5714285714286,14.2857142857143,5.71428571428571,0,0,0,2.85714285714286,10,5.88235294117647,289,0.708333333333333,5.7130056949,0.3462736718,0.000730020338830116
ADATEG_manual,27.33782,2.04945933140616,13.33904,0.238777,3.75246,0.89600114142,6170.7,57.9310344827586,31.0344827586207,8.27586206896552,0.689655172413793,0,0,0,2.06896551724138,8,3.57142857142857,493,0.733630952380952,3.932009568,0.3604934127,0.000876416576927546
ADATIK_clean,24.55082,2.01661702641475,12.17426,0.377577,2.32112,0.87640152624,4535.57,44.0366972477064,22.0183486238532,14.6788990825688,13.7614678899083,0,0,0,5.5045871559633,5.33333333333333,12.5,289,0.752604166666667,5.626147365,0.2930799768,0.000674876232546934
ADATOQ_clean,10.5421,1.16152184140562,9.07611,0.632077,1.15144,0.72779874088,3677.95,45.0867052023121,41.6184971098266,0,11.5606936416185,0,0,0,1.73410404624277,0,3.84615384615385,169,0.541666666666667,9.7169688819,0.344072658,0.000212359789363102
ADATUW_clean,10.34629,1.16769483231081,8.86044,0.640612,1.13953,0.72999659236,3624.84,45.0867052023121,41.6184971098266,0,11.5606936416185,0,0,0,1.73410404624277,0,3.84615384615385,169,0.541666666666667,9.5643404729,0.3261465246,0.000198720936842129
ADAVAE_clean,10.21446,1.15978649262705,8.80719,0.655338,1.11423,0.73019725974,3557.22,45.0867052023121,41.6184971098266,0,11.5606936416185,0,0,0,1.73410404624277,0,3.84615384615385,169,0.541666666666667,10.2203584926,0.3536004204,0.000169496697174439
ADAVEI_clean,10.15021,1.16559353895586,8.70819,0.656268,1.09559,0.71900065812,3672.63,45.0867052023121,41.6184971098266,0,11.5606936416185,0,0,0,1.73410404624277,0,3.84615384615385,169,0.541666666666667,10.1961712839,0.3598705764,0.000195447389917322
ADAVIM_clean,10.34557,1.16233870560015,8.90065,0.637582,1.14025,0.7270028755,3693.81,46.7065868263473,39.5209580838323,0,11.9760479041916,0,0,0,1.79640718562874,0,3.84615384615385,181,0.580128205128205,9.5479867537,0.3285308151,0.00019666195734674
ADAXEK_clean,5.76724,1.4051188344358,4.10445,1.26343,0.399073,0.50420080039,1033.38,46.4285714285714,28.5714285714286,17.8571428571429,3.57142857142857,0,0,0,3.57142857142857,10,7.69230769230769,19,0.730769230769231,15.1594245559,0.5998380197,0.000235769516702023
ADAXIO_clean,5.72682,1.14340877100159,5.00855,1.28062,0.385283,0.49340111546,890.52,46.4285714285714,28.5714285714286,17.8571428571429,3.57142857142857,0,0,0,3.57142857142857,10,7.69230769230769,73,0.701923076923077,14.3563690207,0.5075515165,3.80909386086993E-05
ADIQEL_clean,4.43355,1.13284563730951,3.91364,1.23763,0.378303,0.46819914189,634.715,45.7142857142857,34.2857142857143,11.4285714285714,5.71428571428571,0,0,0,2.85714285714286,8,6.25,21,0.65625,20.3650617074,1.4600867938,3.05464430796337E-05
