name,k,VF,density,ASA_grav,ASA_vol,LPD,PLD,volume,,,,N_atoms,,N_metal_containing_bonds,N_metal_nonmetal_bonds,N_metal_linker_bonds,formula,metal_nonmetal_ratio,metal_node_connectivity,metal_node_name,N_atoms_per_linker,linker_SMILES,N_ccs
SR_act_v1-6c_CdZn_1_Ch_v2-3c_triazine_Ch_1TrU_Ch_1DoU_Ch_1x1x1,0.13284,0.84834,0.501334,4091.04,2050.98,13.55892,10.04934,58296.99919,,,,944,,256,256,192,C30Cd3H3N9O13Zn1,0.072727273,6,6c_CdZn_1_Ch,36,O:C(:O)C#CC1:N:C(C#CC(:O):O):N:C(C=CC2:N:C(C#CC(:O):O):N:C(C#CC(:O):O):N:2):N:1,1
SR_ahq_v1-6c_Ni_1_Ch_v2-6c_B_Ch_v3-4c_Ni_1_Ch_ntn_edge_1B_4CN_Ch_2x2x1,0.3087,0.53258,1.30148,0,0,5.80007,3.33023,45148.66436,,,,1896,,540,504,432,C42H1N12Ni5O19,0.067567568,"4,6","4c_Ni_1_Ch,6c_Ni_1_Ch","108,6",N#CC1:C(C#N):C(:C(C#N):C(C#N):C:1C(:O):O)C1:C(C2:C(C#N):C(C#N):C(C(:O):O):C(C#N):C:2C#N):C(C2:C(C#N):C(C#N):C(C(:O):O):C(C#N):C:2C#N):C(C2:C(C#N):C(C#N):C(C(:O):O):C(C#N):C:2C#N):C(C2:C(C#N):C(C#N):C(C(:O):O):C(C#N):C:2C#N):C:1C1:C(C#N):C(C#N):C(C(:O):O):C(C#N):C:1C#N___O:C(:O)C(:O):O,1
SR_ahq_v1-6c_Zr_1_Ch_v2-6c_B_Ch_v3-4c_ethene_Ch_ntn_edge_1B_2F_Ch_2x2x1,0.42326,0.43466,1.62158,0,0,5.6552,3.04937,28120.46176,,,,1656,,576,576,144,C27F6H17O16Zr3,0.045454545,6,6c_Zr_1_Ch,360,O:C(:O)C1=C(C(:O):O)C2:C:C(F):C(:C:C:2F)C2:C3C4:C:C(F):C(:C:C:4F)C(=C(C(:O):O)C4:C:C(F):C(:C:C:4F)C4:C5C6:C:C(F):C(:C:C:6F)C(=C(C(:O):O)C6:C:C(F):C(:C:C:6F)C6:C7C8:C:C(F):C(:C:C:8F)C(=C(C(:O):O)C8:C:C(F):C(:C:C:8F)C:3:C3C8:C:C(F):C(:C:C:8F)C(=C(C(:O):O)C8:C:C(F):C(:C:C:8F)C8:C9C%10:C:C(F):C(:C:C:%10F)C(=C(C(:O):O)C%10:C:C(F):C(:C:C:%10F)C:5:C5C%10:C:C(F):C(:C:C:%10F)C(=C(C(:O):O)C%10:C:C(F):C(:C:C:%10F)C:3:C:2C2:C:C(F):C(:C:C:2F)C(=C(C(:O):O)C2:C:C(F):C(:C:C:2F)C2:C:6C3:C:C(F):C(:C:C:3F)C(=C(C(:O):O)C3:C:C(F):C(:C:C:3F)C:9:C(C3:C:C(F):C1:C:C:3F):C1C3:C:C(F):C(:C:C:3F)C(=C(C(:O):O)C3:C:C(F):C(:C:C:3F)C:4:C:5C3:C:C(F):C(:C:C:3F)C(=C(C(:O):O)C3:C:C(F):C(:C:C:3F)C:2:C:7C2:C:C(F):C(:C:C:2F)C(=C(C(:O):O)C2:C:C(F):C(:C:C:2F)C:8:1)C(:O):O)C(:O):O)C(:O):O)C(:O):O)C(:O):O)C(:O):O)C(:O):O)C(:O):O)C(:O):O)C(:O):O)C(:O):O,1
SR_afi_v1-4c_In_1_Ch_1B_4Br_Ch_1x1x1,0.06243,0.84014,0.691746,2128.83,1472.61,30.45071,28.512,72173.39723,,,,792,,192,192,192,Br8C16In1O8,0.03125,4,4c_In_1_Ch,16,O:C(:O)C1:C(Br):C(Br):C(C(:O):O):C(Br):C:1Br,1
SR_abr_v1-4c_1anC_Ch_v2-4c_Cd_1_Ch_v3-4c_Cd_1_Ch_ntn_edge_1B_2TrU_Ch_2x2x1,0.0904,0.84454,0.506115,3301.7,1671.04,14.65587,10.81241,52258.35051,,,,856,,384,384,384,C45Cd6H8O48,0.059405941,4,4c_Cd_1_Ch,"20,6,13",O:C(:O)C#CC1:C:C:C(C#CC(:O):O):C:C:1___O:C(:O)C(:O):O___O:C(:O)C(C(:O):O)(C(:O):O)C(:O):O,1
SR_aht_v1-4c_1anC_Ch_v2-4c_Cd_1_Ch_2B_4CN_Ch_ntn_edge_1x1x1,0.16357,0.65134,0.786374,1693.39,1331.64,13.1963,10.56857,29108.44114,,,,1016,,64,64,64,C86Cd1N32O8,0.007936508,4,4c_Cd_1_Ch,"34,368",N#CC1:C(C#N):C(:C(C#N):C(C#N):C:1C(:O):O)C1:C(C#N):C(C#N):C(C(:O):O):C(C#N):C:1C#N___N#CC1:C(C#N):C2:C(C#N):C(C#N):C:1C1:C(C#N):C(C#N):C(:C(C#N):C:1C#N)C1(C(:O):O)C3:C(C#N):C(C#N):C(:C(C#N):C:3C#N)C3:C(C#N):C(C#N):C(:C(C#N):C:3C#N)C3(C(:O):O)C4:C(C#N):C(C#N):C(:C(C#N):C:4C#N)C4:C(C#N):C(C#N):C(:C(C#N):C:4C#N)C4(C(:O):O)C5:C(C#N):C(C#N):C(:C(C#N):C:5C#N)C5:C(C#N):C(C#N):C(:C(C#N):C:5C#N)C2(C(:O):O)C2:C(C#N):C(C#N):C(:C(C#N):C:2C#N)C2:C(C#N):C(C#N):C(:C(C#N):C:2C#N)C2(C(:O):O)C5:C(C#N):C(C#N):C(:C(C#N):C:5C#N)C5:C(C#N):C(C#N):C(:C(C#N):C:5C#N)C(C(:O):O)(C5:C(C#N):C(C#N):C(:C(C#N):C:5C#N)C5:C(C#N):C(C#N):C1:C(C#N):C:5C#N)C1:C(C#N):C(C#N):C(:C(C#N):C:1C#N)C1:C(C#N):C(C#N):C(:C(C#N):C:1C#N)C(C(:O):O)(C1:C(C#N):C(C#N):C(:C(C#N):C:1C#N)C1:C(C#N):C(C#N):C3:C(C#N):C:1C#N)C1:C(C#N):C(C#N):C(:C(C#N):C:1C#N)C1:C(C#N):C(C#N):C(:C(C#N):C:1C#N)C(C(:O):O)(C1:C(C#N):C(C#N):C(:C(C#N):C:1C#N)C1:C(C#N):C(C#N):C4:C(C#N):C:1C#N)C1:C(C#N):C(C#N):C(:C(C#N):C:1C#N)C1:C(C#N):C(C#N):C2:C(C#N):C:1C#N,1
SR_afy_v1-4c_In_1_Ch_v2-4c_1anC_Ch_ntn_edge_1B_2OH_Ch_2x2x1,0.10018,0.8191,0.561829,2495.63,1402.12,21.50681,17.59054,70294.5721,,,,1312,,384,384,384,C34H14In3O31,0.037974684,4,4c_In_1_Ch,"6,104",O:C(:O)C(:O):O___O:C(:O)C1:C:C(O):C(:C:C:1O)C(C1:C:C(O):C(:C:C:1O)C(:O):O)(C1:C:C(O):C(:C:C:1O)C(:O):O)C1:C:C(O):C(:C:C:1O)C(C1:C:C(O):C(:C:C:1O)C(:O):O)(C1:C:C(O):C(:C:C:1O)C(:O):O)C1:C:C(O):C(:C:C:1O)C(:O):O,1
SR_ahr_v1-6c_CdZn_1_Ch_v2-6c_B_Ch_v3-3c_pyrrole_Ch_1B_2F_Ch_ntn_edge_2x2x1,0.29542,0.473,1.52151,0,0,5.3245,2.21649,27185.863,,,,1572,,192,192,144,C72Cd3F12H24N6O13Zn1,0.031496063,6,6c_CdZn_1_Ch,,None,1
SR_act_v1-6c_Zn_1_Ch_v2-3c_B_Ch_1TrU_Ch_1DoU_Ch_1x1x1,0.15982,0.84162,0.429344,4858.6,2086.01,13.0968,9.50282,58792.53815,,,,1088,,256,256,192,C39H12O13Zn4,0.0625,6,6c_Zn_1_Ch,42,O:C(:O)C#CC1:C:C(C#CC(:O):O):C:C(C=CC2:C:C(C#CC(:O):O):C:C(C#CC(:O):O):C:2):C:1,1
SR_ahq_v1-6c_Zr_1_Ch_v2-6c_B_Ch_v3-4c_ethene_Ch_ntn_edge_1B_2CF3_Ch_2x2x1,0.45555,0.30838,2.03139,0,0,4.59221,1.6506,29223.02155,,,,2088,,576,576,144,C33F18H17O16Zr3,0.035714286,6,6c_Zr_1_Ch,,None,1
