MOF name,LCD (Å),LCD/PLD,PLD (Å),density (g/cm3),Pore Volume (cm3/g),Porosity,Surface Area (m2/g),%C,%H,%O,%N,%Halojen,%Metalloids,%Ametal,%Metal,O-to-M,MP,TDU,DU,U_CH4 (mol/kg),D_CH4 (cm2/s)
ADATEG_manual,27.33782,2.04945933140616,13.33904,0.238777,3.75246,0.89600114142,6170.7,57.9310344827586,31.0344827586207,8.27586206896552,0.689655172413793,0,0,0,2.06896551724138,8,3.57142857142857,493,0.733630952380952,0.5758334999,0.000869742227721536
ADATIK_clean,24.55082,2.01661702641475,12.17426,0.377577,2.32112,0.87640152624,4535.57,44.0366972477064,22.0183486238532,14.6788990825688,13.7614678899083,0,0,0,5.5045871559633,5.33333333333333,12.5,289,0.752604166666667,0.5620701832,0.00041026678068015
ADATOQ_clean,10.5421,1.16152184140562,9.07611,0.632077,1.15144,0.72779874088,3677.95,45.0867052023121,41.6184971098266,0,11.5606936416185,0,0,0,1.73410404624277,0,3.84615384615385,169,0.541666666666667,1.0751621598,0.000134661904582094
ADATUW_clean,10.34629,1.16769483231081,8.86044,0.640612,1.13953,0.72999659236,3624.84,45.0867052023121,41.6184971098266,0,11.5606936416185,0,0,0,1.73410404624277,0,3.84615384615385,169,0.541666666666667,0.9637253286,0.000111402766488102
ADAVAE_clean,10.21446,1.15978649262705,8.80719,0.655338,1.11423,0.73019725974,3557.22,45.0867052023121,41.6184971098266,0,11.5606936416185,0,0,0,1.73410404624277,0,3.84615384615385,169,0.541666666666667,1.1644053855,0.000103313900910275
ADAVEI_clean,10.15021,1.16559353895586,8.70819,0.656268,1.09559,0.71900065812,3672.63,45.0867052023121,41.6184971098266,0,11.5606936416185,0,0,0,1.73410404624277,0,3.84615384615385,169,0.541666666666667,1.1360592125,0.000113114209273671
ADAVIM_clean,10.34557,1.16233870560015,8.90065,0.637582,1.14025,0.7270028755,3693.81,46.7065868263473,39.5209580838323,0,11.9760479041916,0,0,0,1.79640718562874,0,3.84615384615385,181,0.580128205128205,1.0123514364,0.00012015303674726
ADAXEK_clean,5.76724,1.4051188344358,4.10445,1.26343,0.399073,0.50420080039,1033.38,46.4285714285714,28.5714285714286,17.8571428571429,3.57142857142857,0,0,0,3.57142857142857,10,7.69230769230769,19,0.730769230769231,2.048932898,0.000111074999974582
ADAXIO_clean,5.72682,1.14340877100159,5.00855,1.28062,0.385283,0.49340111546,890.52,46.4285714285714,28.5714285714286,17.8571428571429,3.57142857142857,0,0,0,3.57142857142857,10,7.69230769230769,73,0.701923076923077,1.7455979416,0.000011052467627649
ADOBAX_charged,5.54673,1.47285950992576,3.76596,1.63796,0.285476,0.46759826896,289.129,29.1970802919708,23.3576642335766,27.7372262773723,5.83941605839416,0.72992700729927,0,0,13.1386861313869,4.22222222222222,45,49,0.6125,0.5894234592,1.85133367803859E-05
ADOBEB_charged,5.50949,1.4616241712938,3.76943,1.63796,0.285232,0.46719860672,289.33,29.1970802919708,23.3576642335766,27.7372262773723,5.83941605839416,0.72992700729927,0,0,13.1386861313869,4.22222222222222,45,49,0.6125,0.5885856068,3.42476127532795E-05
ADOBOL_charged,5.48974,1.42481475233263,3.85295,1.71617,0.264542,0.45399904414,265.831,29.1970802919708,23.3576642335766,27.7372262773723,5.83941605839416,0.72992700729927,0,0,13.1386861313869,4.22222222222222,45,49,0.6125,0.5584075457,0.000129042846127883
ADOBUR_charged,5.46006,1.41150649518516,3.86825,1.70055,0.268148,0.4559990814,263.145,29.1970802919708,23.3576642335766,27.7372262773723,5.83941605839416,0.72992700729927,0,0,13.1386861313869,4.22222222222222,45,49,0.6125,0.5880742042,0.000137340903146517
ADOCEC_clean,5.40135,1.40925124844108,3.83278,1.53544,0.319388,0.49040111072,613.56,32.258064516129,25.8064516129032,20.9677419354839,6.45161290322581,0,0,0,14.5161290322581,2.88888888888889,45,49,0.6125,0.7512697664,1.60368056053856E-05
ADODAA_charged,10.017,2.04157749923571,4.9065,1.03876,0.660015,0.6855971814,1977.46,35.2941176470588,17.6470588235294,20.5882352941176,17.6470588235294,0,0,0,8.82352941176471,4.66666666666667,25,73,0.760416666666667,0.4196057614,0.000173882871455646
ADODII_clean,5.97541,1.12665994173824,5.30365,1.21661,0.443361,0.53939742621,897.412,46.0176991150442,35.3982300884956,16.8141592920354,0,0,0,0,1.76991150442478,19,3.84615384615385,33,0.634615384615385,1.5194686809,8.99910920931406E-05
ADODOO_clean,5.9443,1.11875648136472,5.31331,1.28796,0.408086,0.52559844456,818.961,46.0176991150442,35.3982300884956,16.8141592920354,0,0,0,0,1.76991150442478,19,3.84615384615385,33,0.634615384615385,1.5901295208,7.74619821595665E-05
ADODUU_clean,5.93338,1.12141841934167,5.29096,1.31573,0.395977,0.52099881821,798.439,46.0176991150442,35.3982300884956,16.8141592920354,0,0,0,0,1.76991150442478,19,3.84615384615385,33,0.634615384615385,1.6266176178,8.07972909985081E-05
