MOF,LCD (Å),LCD/PLD,PLD (Å),density (g/cm3),Pore Volume (cm3/g),Porosity,Surface Area (m2/g),%C,%H,%O,%N,%Halojen,%Metalloids,%Ametal,%Metal,O-to-M,MP,TDU,DU,U_H2 (mol/kg),D_H2 (cm2/s)
ALANAD_clean,8.58065,1.47702860880642,5.8094,0.697286,1.08162,0.75419848332,4035.37,52,16,24,4,0,0,0,4,12,7.69230769230769,177,0.850961538461538,0.0762152671,0.00238389451429072
ALEJEI_clean,18.06508,2.53074352957658,7.13825,0.600782,1.3033,0.7829991806,3701.13,44,24,20,8,0,0,0,4,10,9.09090909090909,385,0.729166666666667,0.0858901379,0.00198990270012921
ALEJIM_clean,18.20917,2.56112233186682,7.10984,0.592075,1.32247,0.78300142525,3730.3,44,24,20,8,0,0,0,4,10,9.09090909090909,385,0.729166666666667,0.0873725218,0.00228935791872468
ALIXOJ_clean,7.8603,1.56587167513985,5.01976,0.979833,0.65256,0.63939982248,2049.12,44.7368421052632,26.3157894736842,23.6842105263158,0,0,0,0,5.26315789473684,9,11.7647058823529,49,0.720588235294118,0.0459049388,0.00179758329837441
ALOLET_charged,9.3993,1.80266622683449,5.21411,0.901246,0.715232,0.644599979072,1879.08,49.6350364963504,27.7372262773723,17.5182481751825,2.91970802919708,0,0,0,2.18978102189781,16,4.41176470588235,295,0.723039215686274,0.0501271147,0.000786255171107305
ALOLIX_charged,9.32283,1.6650884086444,5.599,0.940569,0.701703,0.660000089007,1979.4,51.5625,24.21875,18.75,2.34375,0,0,0,3.125,12,6.06060606060606,304,0.767676767676768,0.0506142867,0.00221367914968424
ALOLOD_charged,7.87306,1.56615164879322,5.02701,0.898447,0.70544,0.63380045168,2004.72,43.3862433862434,38.0952380952381,14.2857142857143,2.64550264550265,0,0,0,1.58730158730159,18,3.65853658536585,277,0.563008130081301,0.0480925676,0.000814292746361184
ALURAB_clean,6.8318,1.83015395495739,3.73291,1.05182,0.507503,0.53380180546,1193.73,42.4581005586592,37.9888268156425,10.0558659217877,7.82122905027933,0,0,0,1.67597765363128,12,3.94736842105263,85,0.559210526315789,0.0403374694,0.000174156661729366
AMAGAX_clean,6.93247,1.13738412823416,6.0951,1.45916,0.315113,0.45980028508,658.174,40,24,16,16,0,0,0,4,8,10,85,0.708333333333333,0.0282743667,0.00089233811529237
AMILUE_clean,11.39418,1.02904007448998,11.07263,0.982365,0.623394,0.61240044681,1276.27,44.1176470588235,35.2941176470588,11.7647058823529,5.88235294117647,0,0,0,2.94117647058824,8,6.66666666666667,73,0.608333333333333,0.0437383957,0.00107826329820948
AMIMAL_clean,11.07211,1.16466754394546,9.50667,0.988926,0.620066,0.613199389116,1283.28,44.1176470588235,35.2941176470588,11.7647058823529,5.88235294117647,0,0,0,2.94117647058824,8,6.66666666666667,145,0.604166666666667,0.0434151799,0.000551376205649053
AMIMEP_clean,11.21563,1.03132798893603,10.87494,0.985981,0.611168,0.602600035808,1278.57,44.1176470588235,35.2941176470588,11.7647058823529,5.88235294117647,0,0,0,2.94117647058824,8,6.66666666666667,73,0.608333333333333,0.0442790747,0.000756435692593068
AMOFAK_clean,8.38842,1.24698897269784,6.72694,0.577283,1.35185,0.78040002355,5054.09,52.1739130434783,32.6086956521739,13.0434782608696,0,0,0,0,2.17391304347826,12,4.16666666666667,133,0.692708333333333,0.0902436002,0.00287410441980887
ANAWOD_clean,6.92762,1.13456874032706,6.10595,1.43826,0.411885,0.5923977201,1086.17,42.1052631578947,5.26315789473684,26.3157894736842,0,21.0526315789474,0,0,5.26315789473684,10,12.5,91,0.947916666666667,0.0326555564,0.00120043836622484
ANOMUM_clean,7.28969,1.46158611895291,4.98752,0.833729,0.833844,0.695199924276,2990.19,53.5714285714286,17.8571428571429,21.4285714285714,3.57142857142857,0,0,0,3.57142857142857,12,6.66666666666667,51,0.85,0.0657433373,0.00240432876359021
ANONAT_manual,7.80429,1.32619338525302,5.88473,0.800823,0.86511,0.69279998553,2885.95,53.5714285714286,17.8571428571429,21.4285714285714,3.57142857142857,0,0,0,3.57142857142857,12,6.66666666666667,51,0.85,0.0664866592,0.00209219374757186
ANUGEW_clean,14.4419,1.41516496653634,10.2051,0.443469,1.87747,0.83259974343,4708.57,53.1645569620253,27.8481012658228,15.1898734177215,0,0,0,0,3.79746835443038,8,7.14285714285714,125,0.744047619047619,0.1110608539,0.00333173004517896
ANUGIA_clean,13.85309,2.04976488448415,6.75838,0.567973,1.39936,0.79479869728,4060.62,53.8461538461538,26.9230769230769,15.3846153846154,0,0,0,0,3.84615384615385,8,7.14285714285714,64,0.761904761904762,0.0944709643,0.00250407722270632
ANUGOG_clean,11.39005,1.60683728128276,7.08849,0.58467,1.35085,0.7898014695,4228.07,53.8461538461538,26.9230769230769,15.3846153846154,0,0,0,0,3.84615384615385,8,7.14285714285714,85,0.758928571428571,0.0914612226,0.00254980140628747
APARAM_clean,12.00094,1.08476993831758,11.06312,0.965457,0.623124,0.601599427668,1061.95,49.1803278688525,29.5081967213115,6.55737704918033,3.27868852459016,9.83606557377049,0,0,1.63934426229508,8,3.33333333333333,64,0.711111111111111,0.0390467484,0.00110712800734564
APAYUN_clean,6.02417,1.46732350111435,4.10555,1.04671,0.592904,0.62059854584,1974.55,53.8461538461538,28.2051282051282,15.3846153846154,0,0,0,0,2.56410256410256,12,4.76190476190476,125,0.744047619047619,0.0534721793,0.000873135211993252
APAZOI_clean,6.38612,1.49128968680236,4.28228,1.14648,0.525607,0.60259791336,1786.13,51.7241379310345,24.1379310344828,20.6896551724138,0,0,0,0,3.44827586206897,12,6.66666666666667,93,0.775,0.0480315353,0.00144377349288354
APEBEE_clean,5.40727,1.33094823172653,4.06272,1.31041,0.391481,0.51300061721,910.333,37.2093023255814,32.5581395348837,6.97674418604651,18.6046511627907,0,2.32558139534884,0,2.32558139534884,6,6.25,19,0.59375,0.034361397,0.000635798294549507
APEBUU_clean,4.93858,1.29868989202522,3.80274,1.49581,0.325977,0.48759965637,619.731,37.9310344827586,31.0344827586207,6.89655172413793,18.3908045977011,0,2.29885057471264,0,3.44827586206897,4,9.09090909090909,157,0.59469696969697,0.0222669864,0.000298651764458663
AQEQES_clean,5.6853,1.05752167944554,5.37606,1.07587,0.56252,0.6051983924,1619.58,47.6190476190476,9.52380952380952,38.0952380952381,0,0,0,0,4.76190476190476,16,10,37,0.925,0.043380915,0.000577685286505132
AQEQIW_clean,6.30636,1.22927160166545,5.13016,1.10057,0.563526,0.62019980982,1567.33,47.6190476190476,9.52380952380952,38.0952380952381,0,0,0,0,4.76190476190476,16,10,37,0.925,0.043520635,0.00183909107599752
AQIQAU_clean,7.60741,1.20591177202569,6.30843,0.861714,0.763595,0.65800050183,2282.5,53.3333333333333,31.1111111111111,8.88888888888889,4.44444444444444,0,0,0,2.22222222222222,8,4.16666666666667,137,0.713541666666667,0.0594857655,0.00161609982693584
AQOLEZ_clean,15.56875,1.58727609912657,9.80847,0.777237,0.926101,0.719799962937,1644.67,34.5098039215686,28.2352941176471,0,31.3725490196078,1.17647058823529,0,0,4.70588235294118,0,13.6363636363636,53,0.602272727272727,0.0709314361,0.00260777480830957
AQOLID_clean,15.46142,2.07585715225537,7.44821,1.15975,0.559948,0.649399693,1054.13,37.2759856630824,25.8064516129032,0,22.9390681003584,1.0752688172043,0,0,12.9032258064516,0,34.6153846153846,545,0.655048076923077,0.0513051286,0.000675081142957124
AQOMAW_clean,15.65949,2.51251726810202,6.23259,1.14479,0.566042,0.64799922118,1133.23,41.2371134020619,24.7422680412371,4.12371134020619,16.4948453608247,1.03092783505155,0,0,12.3711340206186,0.666666666666667,30,85,0.708333333333333,0.0491831156,0.00156584895174698
AQOMEA01_clean,15.71951,1.6158387975811,9.72839,0.76692,0.936734,0.71840003928,1670.9,41.5584415584416,20.7792207792208,0,31.1688311688312,1.2987012987013,0,0,5.19480519480519,0,12.5,577,0.751302083333333,0.0688844336,0.00319746040951197
AQUCOF_clean,9.38154,1.67685903290787,5.59471,1.04219,0.654777,0.68240204163,1876.59,37.8787878787879,22.7272727272727,15.1515151515152,15.1515151515152,0,0,0,9.09090909090909,3.33333333333333,24,36,0.72,0.0409591482,0.00110401549909215
AQUCOG_clean,11.41407,1.07682038983791,10.59979,1.19971,0.549134,0.65880155114,1314.22,44.4444444444444,11.1111111111111,33.3333333333333,0,0,0,0,11.1111111111111,6,25,64,0.888888888888889,0.0409608315,0.00214744789626768
AQUCUM_clean,11.51533,1.0738406303912,10.7235,1.1988,0.55222,0.662001336,1317.1,44.4444444444444,11.1111111111111,33.3333333333333,0,0,0,0,11.1111111111111,6,25,64,0.888888888888889,0.0413677087,0.00152057308961685
ARADEE_clean,5.98273,1.11062783099428,5.3868,1.18176,0.545797,0.64500106272,2211.32,46.1538461538462,19.2307692307692,23.0769230769231,5.76923076923077,0,0,0,5.76923076923077,8,12.5,77,0.802083333333333,0.0472495667,0.00201037324408503
ARAFIJ_clean,7.45121,1.06633532159458,6.98768,0.945343,0.691601,0.653800164143,1847.59,40,32,0,24,0,0,0,4,0,10,25,0.625,0.0559557882,0.000711248706962558
ARAFOP_clean,5.6675,1.12356988931821,5.04419,1.1688,0.487165,0.569398452,1151.25,40,32,0,24,0,0,0,4,0,10,25,0.625,0.0386077184,0.000525862582167539
ARAGOR_clean,6.01834,1.52295179869223,3.95176,1.15627,0.49504,0.5723999008,1234.53,42.8571428571429,14.2857142857143,28.5714285714286,0,0,0,7.14285714285714,7.14285714285714,8,16.6666666666667,81,0.84375,0.0394588244,0.000402831138570555
AROFAP_clean,6.18036,1.43530695897537,4.30595,1.16997,0.491464,0.57499813608,1222.5,46.4788732394366,33.8028169014084,16.9014084507042,0,0,0,0,2.8169014084507,12,6.06060606060606,64,0.646464646464647,0.0498689836,0.000250162936689249
AROFET_clean,8.28593,1.60680931437569,5.15676,0.856166,0.804049,0.688399416134,2601.62,46.4788732394366,33.8028169014084,16.9014084507042,0,0,0,0,2.8169014084507,12,6.06060606060606,43,0.651515151515151,0.059432762,0.00170157463522356
ARUYES_clean,5.37817,1.17402940438119,4.58095,1.47856,0.349122,0.51619782432,918.075,47.0588235294118,23.5294117647059,23.5294117647059,0,0,0,0,5.88235294117647,8,12.5,49,0.765625,0.035888365,0.000717113408638832
ASINAT_clean,9.7655,1.26253582819532,7.73483,0.727417,0.927666,0.674800018722,2562.17,52.6315789473684,33.9181286549708,7.01754385964912,4.67836257309941,0,0,0,1.75438596491228,8,3.33333333333333,123,0.683333333333333,0.06779253,0.00197652874383563
ASINEX_clean,12.53569,1.72415932088229,7.27061,0.659976,1.06277,0.70140269352,2801.34,52.6315789473684,33.9181286549708,7.01754385964912,4.67836257309941,0,0,0,1.75438596491228,8,3.33333333333333,977,0.678472222222222,0.0745696865,0.00137503616212492
ASINIB_clean,12.40052,1.71601668341097,7.22634,0.666065,1.07047,0.71300260055,2773.85,52.6315789473684,33.9181286549708,7.01754385964912,4.67836257309941,0,0,0,1.75438596491228,8,3.33333333333333,977,0.678472222222222,0.0736925739,0.00145035049493889
ASIQEA_clean,8.85063,1.41445324486039,6.25728,0.902561,0.69048,0.62320031928,1681.44,45.6140350877193,31.5789473684211,7.01754385964912,14.0350877192982,0,0,0,1.75438596491228,8,3.84615384615385,69,0.663461538461538,0.0457093399,0.000466397734440604
ASIQIE_clean,9.00205,1.43906162576932,6.2555,0.893575,0.688471,0.615200473825,1697.06,45.6140350877193,31.5789473684211,7.01754385964912,14.0350877192982,0,0,0,1.75438596491228,8,3.84615384615385,69,0.663461538461538,0.0463818317,0.00111718949002937
ASIVAB_clean,12.32132,1.69467020051907,7.27063,0.538243,1.47703,0.79500105829,4325.4,50.6024096385542,28.9156626506024,14.4578313253012,2.40963855421687,0,0,0,3.6144578313253,8,7.14285714285714,241,0.717261904761905,0.0922842052,0.00190634287430966
ASOSUY_clean,9.00116,2.07918358673005,4.32918,0.897328,0.75045,0.6733997976,2551.28,43.9024390243902,29.2682926829268,19.5121951219512,0,0,2.4390243902439,0,4.8780487804878,8,11.1111111111111,73,0.675925925925926,0.064052575,0.000930149134611169
ASOYOY_clean,9.52144,1.60881334166906,5.9183,0.828676,0.820103,0.679599673628,2557.99,46.8085106382979,34.0425531914894,4.25531914893617,12.7659574468085,0,0,0,2.12765957446809,4,4.54545454545455,225,0.639204545454545,0.0607079861,0.00141075647524507
ASUBIB_clean,6.13583,1.44200109046128,4.25508,1.52116,0.349733,0.53199985028,967.73,48,18,24,6,0,0,0,4,12,8.33333333333333,40,0.833333333333333,0.0325759275,0.00127758357886402
ATAFIK_clean,6.40025,1.1221087105546,5.70377,1.21508,0.526057,0.63920133956,1722.65,45.4545454545455,9.09090909090909,36.3636363636364,0,0,0,0,9.09090909090909,8,20,73,0.9125,0.0426662949,0.00144473448743431
ATAYAX_clean,10.41989,1.78096467089408,5.8507,0.781859,0.91858,0.71820004022,3072.5,50,22.7272727272727,18.1818181818182,2.27272727272727,2.27272727272727,0,0,4.54545454545455,8,9.09090909090909,103,0.78030303030303,0.0721027795,0.00154950005405797
ATAYEB_clean,10.54748,1.8329799731678,5.75428,0.825883,0.853389,0.704799467487,2845.11,48.8888888888889,22.2222222222222,17.7777777777778,2.22222222222222,4.44444444444444,0,0,4.44444444444444,8,9.09090909090909,103,0.78030303030303,0.0683633225,0.000971214232390539
ATEYOP_clean,10.52737,1.28883162037916,8.16815,0.722386,1.02992,0.74399978912,3319.23,55.9440559440559,30.7692307692308,11.1888111888112,0,0,0,0,2.0979020979021,10.6666666666667,3.75,465,0.7265625,0.0809076785,0.00179557891576849
ATEYUV_clean,10.25531,1.26440178527396,8.1108,0.751133,0.975061,0.732400494113,3235.83,55.9440559440559,30.7692307692308,11.1888111888112,0,0,0,0,2.0979020979021,10.6666666666667,3.75,465,0.7265625,0.0794085661,0.00136671620673813
ATIJUJ_manual,17.44029,1.02865924400701,16.95439,0.753394,0.942136,0.709799609584,1675.56,28.5714285714286,42.8571428571429,14.2857142857143,4.76190476190476,0,0,4.76190476190476,4.76190476190476,6,16.6666666666667,10,0.277777777777778,0.0459401547,0.00168216760566445
