MOF,LCD (Å),LCD/PLD,PLD (Å),density (g/cm3),Pore Volume (cm3/g),Porosity,Surface Area (m2/g),%C,%H,%O,%N,%Halojen,%Metalloids,%Ametal,%Metal,TDU,DU,MP,O-to-M,U_He (mol/kg),D_He (cm2/s)
BIZMEE_clean,8.33004,1.28711883000997,6.47185,0.855248,0.772875,0.660999798,2359.47,44.9438202247191,35.9550561797753,8.98876404494382,8.98876404494382,0,0,0,1.12359550561798,145,0.604166666666667,2.5,16,0.0309550003,0.000651625357540803
BIZMII_clean,8.09188,1.2703148204547,6.36998,0.865187,0.758911,0.656599931357,2317.41,44.9438202247191,35.9550561797753,8.98876404494382,8.98876404494382,0,0,0,1.12359550561798,145,0.604166666666667,2.5,16,0.0299697068,0.00082711745852194
BODPAN_clean,13.14982,1.97322085070242,6.66414,0.888078,0.815469,0.724200078582,2370.57,46.1538461538462,15.3846153846154,30.7692307692308,0,0,0,0,7.69230769230769,1921,0.833767361111111,16.6666666666667,8,0.0336228233,0.00169576858990439
BOYCEY_auto,12.37213,2.01900013871097,6.12785,0.613909,1.22689,0.75319881301,3902.93,55.5555555555556,25.9259259259259,14.8148148148148,0,0,0,0,3.7037037037037,208,0.77037037037037,6.66666666666667,8,0.0533938076,0.00235647840729486
BUKRUW01_clean,10.63994,2.05560203011165,5.17607,0.946218,0.779313,0.737399988234,2542.96,35.8208955223881,17.910447761194,16.4179104477612,17.910447761194,0,0,0,11.9402985074627,73,0.760416666666667,33.3333333333333,2.75,0.0294463245,0.000684724778174777
BUKRUW02_clean,10.18784,1.75619106721139,5.8011,0.90051,0.821091,0.73940065641,2701.41,33.3333333333333,14.2857142857143,22.2222222222222,19.047619047619,0,0,0,11.1111111111111,67,0.797619047619048,33.3333333333333,4,0.0312041577,0.00135130704371077
BUKRUW03_clean,10.56885,2.06289488631373,5.12331,0.827757,0.922976,0.763999844832,3286.2,35,20,13.3333333333333,20,0,0,0,11.6666666666667,61,0.726190476190476,33.3333333333333,2.28571428571429,0.0343248755,0.0018662728527234
BUNLAZ_clean,38.39638,1.06381319895515,36.09316,0.330751,2.65335,0.87759816585,4285.91,53.4653465346535,31.6831683168317,11.8811881188119,0,0,0,0,2.97029702970297,229,0.70679012345679,5.55555555555556,8,0.1103142258,0.00427632962405281
BURQIQ_clean,8.30102,1.52593681927224,5.43995,0.998622,0.629868,0.629000041896,1910.93,50.2994011976048,28.7425149700599,14.3712574850299,2.39520958083832,0,0,0,4.19161676646707,121,0.720238095238095,8.33333333333333,6.85714285714286,0.0247219426,0.000817615080725585
CANYIB_clean,8.93125,1.05452040205491,8.46949,1.07172,0.572909,0.61399803348,1637.38,39.0243902439024,24.390243902439,26.8292682926829,2.4390243902439,0,0,0,7.31707317073171,67,0.697916666666667,18.75,7.33333333333333,0.0235992353,0.00104521925495064
CAXZOS_clean,9.21896,1.66123251409594,5.54947,0.933786,0.632907,0.590999695902,1594.55,51.063829787234,34.0425531914894,8.51063829787234,4.25531914893617,0,0,0,2.12765957446809,257,0.669270833333333,4.16666666666667,8,0.02544263,0.000814812606434925
CECVAI_clean,8.49795,1.40882535303733,6.03194,0.769652,0.959394,0.738399510888,3441.9,42.3076923076923,28.8461538461538,11.5384615384615,11.5384615384615,0,0,0,5.76923076923077,117,0.664772727272727,13.6363636363636,4,0.0376340764,0.00115894172350511
CETGOY_clean,10.22503,1.08653235147226,9.4107,0.619603,1.11749,0.69240015647,3144.66,41.958041958042,50.3496503496504,3.4965034965035,2.7972027972028,0,0,0,1.3986013986014,73,0.405555555555556,3.33333333333333,5,0.0439069427,0.00103670153884317
CEXJOF_clean,6.33683,1.43889689937443,4.40395,1.02087,0.539146,0.55039797702,1370.18,52.2522522522522,37.8378378378378,0,8.10810810810811,0,0,0,1.8018018018018,593,0.639008620689655,3.44827586206897,0,0.0196768745,0.00111819542079539
CIGXIA_manual,28.48677,2.40742083512917,11.8329,0.684425,1.11451,0.76279850675,1937.02,45,15,32.5,0,0,0,0,7.5,1021,0.834150326797386,16.6666666666667,8.66666666666667,0.0451089372,0.00271101638819686
COGNAO_clean,5.98836,1.27369639013434,4.70156,1.13574,0.508922,0.57800307228,1543.53,48.2758620689655,28.735632183908,17.2413793103448,0,0,0,2.29885057471264,3.44827586206897,237,0.705357142857143,7.14285714285714,10,0.0188871684,0.00126199727488273
COKMEW_clean,11.49614,1.05442765252373,10.90273,1.13639,0.568466,0.64599907774,1372.2,44.4444444444444,11.1111111111111,33.3333333333333,0,0,0,0,11.1111111111111,64,0.888888888888889,25,6,0.0250842866,0.00134846059537218
COKMIA_clean,11.457,1.06532347449621,10.75448,1.17248,0.547727,0.64219895296,1331.1,44.4444444444444,11.1111111111111,33.3333333333333,0,0,0,0,11.1111111111111,64,0.888888888888889,25,6,0.0241235535,0.000669768209327012
COKMOG_clean,11.40307,1.0710416645142,10.64671,1.32388,0.482069,0.63820150772,1171.45,44.4444444444444,11.1111111111111,33.3333333333333,0,0,0,0,11.1111111111111,64,0.888888888888889,25,6,0.0204612185,0.000682570551244197
COKMUM_clean,11.78987,1.07585843773412,10.95857,1.07449,0.609034,0.65440094266,1463.5,44.4444444444444,11.1111111111111,33.3333333333333,0,0,0,0,11.1111111111111,64,0.888888888888889,25,6,0.0261695196,0.00140529417089486
COKNAT_clean,11.6018,1.07853290223501,10.75702,1.22798,0.544469,0.66859704262,1311.45,44.4444444444444,11.1111111111111,33.3333333333333,0,0,0,0,11.1111111111111,64,0.888888888888889,25,6,0.0238170786,0.00172163124467287
COKPEZ_clean,11.53314,1.07791190632851,10.69952,0.910755,0.724674,0.66000046887,1744.4,44.4444444444444,11.1111111111111,33.3333333333333,0,0,0,0,11.1111111111111,64,0.888888888888889,25,6,0.0323619499,0.000755521762168317
COKPID_clean,11.40668,1.0536560312808,10.82581,1.13771,0.564817,0.64259794907,1371.18,44.4444444444444,11.1111111111111,33.3333333333333,0,0,0,0,11.1111111111111,64,0.888888888888889,25,6,0.0247390952,0.000820198226932078
COKPUP_clean,11.57951,1.0703196490534,10.81874,1.23248,0.544433,0.67100278384,1293.59,44.4444444444444,11.1111111111111,33.3333333333333,0,0,0,0,11.1111111111111,64,0.888888888888889,25,6,0.0235338854,0.000553707326183557
COKQAW_clean,11.31709,1.06604791101675,10.61593,1.308,0.495108,0.647601264,1164.84,50,0,37.5,0,0,0,0,12.5,73,1.01388888888889,25,6,0.020535621,0.000770067427250329
COKQEA_clean,11.43729,1.05039316421425,10.88858,1.1695,0.554254,0.648200053,1323.13,44.4444444444444,11.1111111111111,33.3333333333333,0,0,0,0,11.1111111111111,64,0.888888888888889,25,6,0.0242615678,0.001403572160367
COKQOK_clean,11.69077,1.0742250743822,10.88298,1.22651,0.545941,0.66960209591,1301.62,44.4444444444444,11.1111111111111,33.3333333333333,0,0,0,0,11.1111111111111,64,0.888888888888889,25,6,0.024025466,0.000612463038487733
COKRUR_clean,8.84098,1.59452079500776,5.5446,0.885689,0.706568,0.625799505352,2141.9,57.1428571428571,31.7460317460317,6.34920634920635,3.17460317460317,0,0,0,1.58730158730159,833,0.723090277777778,2.77777777777778,8,0.0292713528,0.00120316614898791
CORZIU_clean,12.15536,1.0391399202566,11.69752,0.719622,1.04277,0.75040023294,2987.95,48,24,16,8,0,0,0,4,73,0.760416666666667,8.33333333333333,8,0.0455700151,0.00280744890408378
COTYIV_clean,9.63817,1.2289963033851,7.84231,0.968257,0.71985,0.69699980145,1961.09,35.0649350649351,11.6883116883117,0,46.7532467532467,0,0,0,6.49350649350649,361,0.835648148148148,18.5185185185185,0,0.0270173764,0.00108924542185468
COZMUA_clean,10.13386,1.8863976083707,5.37207,0.637133,1.15737,0.73739862021,3578.48,50.8771929824561,28.0701754385965,17.5438596491228,0,0,0,0,3.50877192982456,85,0.732758620689655,6.89655172413793,10,0.0480184393,0.00209232032422348
CUFDUD_clean,6.88574,1.26737553537871,5.43307,0.934938,0.735236,0.687400075368,2720.39,48,16,32,0,0,0,0,4,181,0.837962962962963,8.33333333333333,16,0.0341117525,0.00165963538703969
CUFFAL_clean,6.84864,1.22714591601788,5.58095,0.914088,0.763822,0.698200524336,2781.24,48,16,32,0,0,0,0,4,181,0.837962962962963,8.33333333333333,16,0.034850648,0.00145098295414046
CUFFEP_clean,6.24407,1.12624681194919,5.54414,0.899727,0.777791,0.699799563057,2829.99,57.1428571428571,0,38.0952380952381,0,0,0,0,4.76190476190476,145,1.00694444444444,8.33333333333333,16,0.0345456997,0.00166907115916423
CUFGIV_clean,7.21934,1.38333598401162,5.21879,0.929294,0.737549,0.685399860406,2794.99,48.6486486486487,24.3243243243243,20.2702702702703,4.05405405405405,0,0,0,2.7027027027027,217,0.753472222222222,5.55555555555556,15,0.0319226272,0.00145343564739999
CUQSAK_clean,18.30047,4.0666988142433,4.50008,0.672661,1.05373,0.70880307553,2754.14,47.3967684021544,35.5475763016158,9.69479353680431,5.38599640933573,0,0,0,1.97486535008977,496,0.626262626262626,4.16666666666667,9.81818181818182,0.0397413051,0.000993511650210362
CUSYIA_clean,5.815,1.21939455959201,4.76876,0.737304,0.941809,0.694399542936,3641.46,57.1428571428571,19.047619047619,0,19.047619047619,0,0,0,4.76190476190476,81,0.84375,8.33333333333333,0,0.0384146844,0.00231387511489976
CUTFON_charged,8.38862,1.23818548678732,6.77493,0.882886,0.659882,0.582600579452,1498.87,43.2692307692308,46.1538461538462,4.32692307692308,4.32692307692308,0,0.961538461538462,0,0.961538461538462,169,0.469444444444444,2.22222222222222,9,0.0193891316,0.00152088043120882
DALVIY_clean,8.33476,1.63737446761697,5.09032,1.08397,0.612008,0.66339831176,2034.91,49.3333333333333,17.3333333333333,24,5.33333333333333,0,0,0,4,489,0.826013513513513,8.10810810810811,12,0.0234263404,0.000616130424485574
DAWWEF_clean,7.03379,1.31743831698505,5.33899,1.07778,0.587134,0.63280128252,1932.65,35.5555555555556,17.7777777777778,17.7777777777778,22.2222222222222,0,0,0,6.66666666666667,49,0.765625,18.75,5.33333333333333,0.0226688507,0.00103049024390689
DIBQOW_clean,9.37426,1.11304040150982,8.42221,0.760114,0.901706,0.685399354484,2921.23,54,30,13,0,0,0,0,3,157,0.726851851851852,5.55555555555556,8.66666666666667,0.0370642266,0.00236295119778287
DIBQUC_clean,9.44546,1.11491373856221,8.47192,0.754531,0.894065,0.674599758515,2944.78,54,30,13,0,0,0,0,3,157,0.726851851851852,5.55555555555556,8.66666666666667,0.037184689,0.00201550495398669
DIDBEZ_clean,9.17575,1.54217136787403,5.94989,0.929043,0.634201,0.589199999643,1609.25,51.063829787234,34.0425531914894,8.51063829787234,4.25531914893617,0,0,0,2.12765957446809,129,0.671875,4.16666666666667,8,0.0255195547,0.000399946215239198
DITJIB_clean,20.3631,2.25968682135101,9.01147,0.521418,1.59795,0.8331998931,3403.71,53,32,12,0,0,0,0,3,75,0.707547169811321,5.66037735849057,8,0.0672393704,0.00241905822355719
DITTEH_clean,5.93254,1.15147103921865,5.15214,1.0803,0.59169,0.639202707,2170.15,49.1803278688525,22.9508196721311,21.3114754098361,0,0,0,0,6.55737704918033,93,0.775,13.3333333333333,6.5,0.024289829,0.00141634853686109
DOKDEN_clean,15.14217,1.12634450193549,13.44364,0.712137,0.986608,0.702600061296,2579.28,45.7142857142857,37.1428571428571,11.4285714285714,2.85714285714286,0,0,0,2.85714285714286,58,0.604166666666667,6.25,8,0.0403821545,0.00136613004780493
DOTFID_clean,9.22988,1.60205092956612,5.76129,0.797235,0.802774,0.63999952989,2238.66,46.7532467532467,36.3636363636364,10.3896103896104,5.19480519480519,0,0,0,1.2987012987013,265,0.613425925925926,2.77777777777778,16,0.0304552543,0.00128705129103009
DOZCEC_clean,19.11403,1.62807414139539,11.74027,0.458248,1.76891,0.81059946968,4103.57,49.2307692307692,24.6153846153846,0,20.5128205128205,2.56410256410256,0,0,3.07692307692308,73,0.760416666666667,6.25,0,0.0720111312,0.00236214744653423
DUPKAC_clean,11.8886,1.8091839452159,6.57125,0.647287,1.13953,0.73760295511,3280.21,53.0973451327434,31.858407079646,11.5044247787611,0,0,0,0,3.53982300884956,505,0.701388888888889,6.66666666666667,6.5,0.0487441598,0.00183670549101904
EBATUZ_clean,12.21806,1.73759809317394,7.03158,0.59675,1.30909,0.7811994575,3955.57,56,24,16,0,0,0,0,4,199,0.78968253968254,7.14285714285714,8,0.058410904,0.00231528063992643
EBAVAH_auto,14.10999,1.89301569285631,7.45371,0.571355,1.35818,0.7760029339,3968.58,55.3191489361702,17.0212765957447,17.0212765957447,4.25531914893617,0,0,2.12765957446809,4.25531914893617,199,0.85042735042735,7.69230769230769,8,0.058061584,0.00249127795914454
EBIDOK_ion_b,10.15108,1.39405741532174,7.28168,0.88059,0.732691,0.64520036769,2213.74,47.1223021582734,34.1726618705036,8.63309352517986,6.47482014388489,0,0,0.719424460431655,2.87769784172662,168,0.641221374045801,6.10687022900763,6,0.0262665658,0.000849095764413929
EBIZUN_clean,10.22426,1.26564656629064,8.07829,0.790487,0.915638,0.723799935706,2962.97,45.945945945946,24.3243243243243,21.6216216216216,2.7027027027027,0,0,0,5.40540540540541,113.5,0.741830065359477,11.7647058823529,8,0.0386175196,0.00117518823279277
EDATOT_clean,9.62468,1.20694874466887,7.97439,0.668028,1.19276,0.79679707728,3478.84,30,0,60,0,0,0,0,10,49,1.02083333333333,33.3333333333333,12,0.0441658592,0.00156492592958587
EDECOG_clean,6.30911,1.35618246344132,4.65211,1.66761,0.453344,0.75600098784,1985.26,37.5,0,0,37.5,0,0,0,25,97,1.01041666666667,66.6666666666667,0,0.015550866,0.00181318612639202
EDUSUR_clean,14.97276,2.26628221137473,6.60675,0.720686,1.05233,0.75839949838,2829.56,45.2830188679245,0,24.5283018867925,22.6415094339623,0,0,0,7.54716981132075,193,1.00520833333333,16.6666666666667,6.5,0.0407328314,0.00101963522765588
EDUTIG_clean,15.04959,2.68392809373495,5.6073,0.712902,1.0439,0.7441983978,2720.81,46.7532467532467,31.1688311688312,16.8831168831169,0,0,0,0,5.19480519480519,193,0.670138888888889,11.1111111111111,6.5,0.0417378917,0.000760687121938235
EFAYEQ_clean_h,11.33412,1.38053963985033,8.20992,0.445208,1.8032,0.8027990656,5169.29,51.1627906976744,34.8837209302326,11.6279069767442,0,0,0,0,2.32558139534884,233,0.661931818181818,4.54545454545455,10,0.0740998815,0.00282114018464472
EFESEP_clean,10.28948,1.67800833664929,6.13196,0.910166,0.682952,0.621599690032,1580.69,47.2906403940887,35.4679802955665,14.7783251231527,0,0,0,0,2.46305418719212,241,0.627604166666667,5.20833333333333,12,0.0268740741,0.000616893153942533
EFESOZ_clean,10.40168,1.68054996809086,6.18945,0.9137,0.688847,0.6293995039,1577.44,47.2906403940887,35.4679802955665,14.7783251231527,0,0,0,0,2.46305418719212,241,0.627604166666667,5.20833333333333,12,0.0268179583,0.00120335193446318
EGATEM_clean,10.25144,1.18003409531725,8.68741,0.847968,0.759227,0.643800200736,1685.99,53.1531531531532,31.5315315315315,11.7117117117117,0.900900900900901,0,0,0,2.7027027027027,167,0.707627118644068,5.08474576271187,8.66666666666667,0.0290472302,0.000812906668917894
EGATIQ_clean,10.61507,1.1344850177359,9.35673,0.815931,0.803499,0.655599742569,1962.02,53.1531531531532,31.5315315315315,11.7117117117117,0.900900900900901,0,0,0,2.7027027027027,167,0.707627118644068,5.08474576271187,8.66666666666667,0.0308045153,0.0005644441581112
EGEHOO_charged,9.43184,1.49452457878633,6.31093,1.23596,0.506488,0.62599890848,1303.2,40,8,32,16,0,0,0,4,361,0.9025,10,16,0.0170219676,0.0012686147893064
EGOZAB_clean,7.0311,1.32929125640909,5.28936,1.03834,0.599612,0.62260112408,1815.68,43.9024390243902,29.2682926829268,14.6341463414634,7.31707317073171,0,0,0,4.8780487804878,73,0.675925925925926,11.1111111111111,6,0.0222174712,0.000637884969487845
EJETAQ_clean,12.53345,1.33779033960701,9.36877,0.673241,1.13986,0.76740048626,2933.84,56.25,0,27.0833333333333,12.5,0,0,0,4.16666666666667,217,1.00462962962963,7.40740740740741,13,0.046228805,0.00311098497093658
EJOQUR_clean,11.95194,2.341139783514,5.10518,0.926552,0.753115,0.69780020948,2044.86,47.0588235294118,17.6470588235294,27.9411764705882,0,0,0,0,7.35294117647059,209,0.81640625,15.625,7.6,0.0305975431,0.000856471433567085
EKUPEG_clean,12.15079,1.47019272186972,8.26476,0.865202,0.791723,0.685000323046,1858.54,39.5604395604396,37.9120879120879,13.1868131868132,3.2967032967033,0,0,2.47252747252747,3.57142857142857,151,0.524305555555556,9.02777777777778,7.38461538461539,0.0291564324,0.00239178262397175
ELEREU_clean,15.53932,1.50744539879205,10.30838,0.773652,0.914882,0.707800289064,2253.61,46.7889908256881,30.2752293577982,14.6788990825688,6.42201834862385,0,0,0,1.8348623853211,829,0.677287581699346,3.92156862745098,16,0.0417748007,0.00124175845439677
EMIFOW_clean,7.56186,1.5592299793391,4.84974,1.40224,0.491927,0.68979971648,2033.41,14.2857142857143,14.2857142857143,0,9.52380952380952,0,0,38.0952380952381,23.8095238095238,25,0.520833333333333,166.666666666667,0,0.0209446584,0.00114016980632016
EMIGAJ_charged,12.66503,1.1771732108915,10.75885,1.10466,0.681842,0.75320358372,2024.41,16.3934426229508,18.0327868852459,0,8.7431693989071,0,0,34.9726775956284,21.8579234972678,55,0.458333333333333,133.333333333333,0,0.0285961446,0.00280618654406425
EMIGEN_charged,9.93361,1.08474655857359,9.15754,1.09302,0.685988,0.74979860376,2132.73,18.5185185185185,25.9259259259259,0,7.40740740740741,0,0,29.6296296296296,18.5185185185185,13,0.325,100,0,0.0289180129,0.00275154562949397
EMIGIR_charged,7.59015,1.57305874087323,4.82509,1.39411,0.504552,0.70340098872,1996.52,15.9090909090909,15.9090909090909,0,9.09090909090909,0,0,36.3636363636364,22.7272727272727,29,0.517857142857143,142.857142857143,0,0.0207377134,0.00199011038287312
EMIGOX_clean,6.95421,1.36277697105803,5.10297,1.53443,0.420222,0.64480124346,1503.8,25.9259259259259,18.5185185185185,0,7.40740740740741,0,0,29.6296296296296,18.5185185185185,73,0.651785714285714,71.4285714285714,0,0.017962196,0.000995751289055503
EMIGUD_charged,7.15691,1.44931583413154,4.93813,1.49442,0.433746,0.64819869732,1547.92,26.6666666666667,23.3333333333333,0,6.66666666666667,0,0,26.6666666666667,16.6666666666667,73,0.5703125,62.5,0,0.018315149,0.000720355262170766
EMIHAK_charged,6.82599,1.3637687703287,5.00524,1.48471,0.434833,0.64560090343,1520.28,27.2727272727273,27.2727272727273,0,6.06060606060606,0,0,24.2424242424242,15.1515151515152,73,0.506944444444444,55.5555555555556,0,0.0179990338,0.00113576930397311
EMIZAD_clean,35.58882,1.03124405073576,34.51057,0.382184,2.22824,0.85159767616,3737.01,52.7472527472528,30.7692307692308,13.1868131868132,0,0,0,0,3.2967032967033,205,0.711805555555556,6.25,8,0.094555644,0.00374101801376674
ENIHUG_clean,13.82069,2.02315977772703,6.83124,0.581484,1.35962,0.79059727608,4025.06,52.9411764705882,25.4901960784314,15.6862745098039,1.96078431372549,0,0,0,3.92156862745098,185.5,0.763374485596708,7.40740740740741,8,0.0579864837,0.00239891564444938
ENIHUG01_clean,13.78566,2.01775126277226,6.83219,0.585033,1.31377,0.76859880441,3970.91,52.9411764705882,25.4901960784314,15.6862745098039,1.96078431372549,0,0,0,3.92156862745098,185.5,0.763374485596708,7.40740740740741,8,0.0573452683,0.00253383803237695
